estacao,precip_anual,rx1day,dias_chuva_forte,cdd,tmax_media,n_anos,deficit_decada,temp_trend,dias_quentes_pct
A401,1405.4,97.6,4.238095238095238,56.523809523809526,29.193425975624525,21,0.0,0.10259489572913039,0.07590394700524428
A402,639.9368421052632,61.09473684210526,2.0,169.57894736842104,30.7646887838828,19,0.0,3.64147049336883,0.1396194739787353
A404,675.9368421052632,61.73684210526316,1.736842105263158,175.68421052631578,30.196060160882492,19,0.0,0.2024113138765306,0.11500862564692352
A405,946.1111111111111,85.38888888888889,3.2777777777777777,115.61111111111111,28.436570196898824,18,0.0,0.07286357250002348,0.11202105878911962
A406,904.7,57.36666666666666,0.6111111111111112,44.27777777777778,28.678178597095446,18,0.0008451871288495913,0.5854007910620566,0.0974171813587872
A407,742.3,54.355555555555554,0.9444444444444444,35.388888888888886,26.270284245891723,18,0.0,0.6306250776122915,0.11826182618261827
A408,483.9555555555556,52.422222222222224,1.0555555555555556,56.333333333333336,30.981059200920654,18,0.4003293834103234,0.6350539162828682,0.1482084690553746
A410,1185.8000000000002,90.23333333333333,2.1666666666666665,109.05555555555556,27.53176412222252,18,0.0,0.9147455649010716,0.17172039578678583
A412,508.5111111111112,55.46666666666667,1.5555555555555556,82.33333333333333,30.20264622468314,18,0.22138576294571657,0.7643563799187023,0.1496953872932985
A413,586.0142857142857,53.02857142857143,0.7142857142857143,49.357142857142854,29.950565715111416,14,0.0,0.5935186037816984,0.11643437862950058
A414,551.0714285714286,61.785714285714285,1.2142857142857142,77.64285714285714,25.924505088283276,14,0.0,0.6616527759018778,0.12582972582972582
A415,643.0428571428572,63.42857142857143,1.6428571428571428,162.14285714285714,33.01100937984511,14,0.21754777697511,0.7496960156694134,0.10925692695214106
A416,740.2769230769231,76.61538461538461,2.3076923076923075,143.46153846153845,31.906541696663677,13,0.26609368285345925,0.8847432603292059,0.13633615477629987
A418,480.87142857142857,63.18571428571429,0.9285714285714286,148.35714285714286,33.034674650182765,14,0.0427016129032256,1.2054036707758,0.15077282006415865
A422,476.5333333333333,69.14999999999999,1.4166666666666667,134.25,27.11556224039914,12,0.06087649402390427,-0.005216658268742189,0.11005568293481821
A423,468.38461538461536,59.66153846153846,1.9230769230769231,133.15384615384616,31.78505105708444,13,0.34361256544502616,0.786757086409035,0.1878453038674033
A424,456.6,61.323076923076925,1.3846153846153846,103.3076923076923,29.973643652702474,13,0.25887511693171195,0.4674995024245116,0.13371459694989107
A425,939.5538461538462,87.36923076923077,3.0,41.76923076923077,30.274636691162485,13,0.0,0.030314104339346344,0.08144919640424952
A426,553.5846153846153,67.63076923076923,1.8461538461538463,131.0,31.129309847616977,13,0.0,0.5603339887000024,0.10728402032749859
A427,1485.7666666666667,88.45,3.4166666666666665,38.166666666666664,28.087784475746023,12,0.13442505378914632,0.3644674588686924,0.08787346221441125
A428,575.5538461538462,63.184615384615384,1.1538461538461537,59.0,29.36186691701812,13,0.225691586101273,0.7950865722462598,0.12599586898790205
A429,591.2461538461538,68.03076923076922,2.6153846153846154,160.30769230769232,33.67590289948929,13,0.25368908249387423,1.0019901991254314,0.17536192297186562
A430,827.0923076923077,47.215384615384615,1.1538461538461537,44.23076923076923,24.32278746153839,13,0.21024999999999994,0.4689932847760237,0.12975027144408252
A431,1307.4153846153847,99.03076923076924,3.8461538461538463,48.92307692307692,28.979671366619666,13,0.21081300465672675,-0.10965104982453486,0.05444540978858963
A432,389.0153846153846,39.23076923076923,0.5384615384615384,173.76923076923077,32.581052747374876,13,0.0,0.007059585560173052,0.10271084337349398
A433,545.7384615384616,68.93846153846154,1.4615384615384615,64.07692307692308,31.104968434868244,13,0.0376156583629893,0.8311462668715954,0.19793084671930303
A434,876.5166666666668,63.300000000000004,1.0,28.333333333333332,27.976335309507075,12,0.17643051771117182,0.2295002546022444,0.10743575724439584
A435,425.7384615384616,77.3076923076923,1.1538461538461537,61.07692307692308,30.89657493821415,13,0.46597347799879446,0.2991632274830464,0.08284518828451883
A436,530.1230769230768,69.26153846153846,1.1538461538461537,47.38461538461539,31.59506817850906,13,0.19910543130990413,0.6919172218877763,0.14553072625698324
A437,1499.8666666666666,81.81666666666666,3.5833333333333335,57.166666666666664,28.185240468306304,12,0.2046784272521152,0.7299686705935395,0.13059083379348427
A438,1998.55,122.01666666666667,6.0,29.333333333333332,28.603000686807686,12,0.0,0.41735092326421186,0.09045226130653267
A439,576.3538461538462,62.73846153846154,1.5384615384615385,139.84615384615384,33.85393504831972,13,0.06874452234881688,1.0226856135967348,0.138811771238201
A440,560.8153846153846,76.41538461538461,1.4615384615384615,92.38461538461539,29.817937218149833,13,0.28242300176793517,0.4138442262467321,0.12135922330097088
A441,577.8153846153847,43.276923076923076,0.6923076923076923,68.53846153846153,29.860101525806385,13,0.26505924497106653,0.8720933745741919,0.12323456106341733
A442,626.1846153846153,56.43076923076923,0.6923076923076923,58.23076923076923,30.094386317531058,13,0.21750000000000008,1.1542726855941574,0.13734610123119015
A443,387.01666666666665,52.01666666666667,1.0,70.66666666666667,30.09179078303252,12,0.46920535011801734,0.424104815176934,0.09664912766546663
A444,1525.709090909091,107.92727272727274,2.6363636363636362,62.18181818181818,28.259834460351104,11,0.3304997707473636,0.29815418158614615,0.09798432250839866
A445,907.4909090909091,54.41818181818182,0.6363636363636364,47.18181818181818,29.694369285835272,11,0.2517335146159078,0.1902563168679412,0.08981533296026861
A446,729.6545454545455,79.27272727272727,1.3636363636363635,41.18181818181818,29.865222356957137,11,0.17829581993569119,0.9539221167817147,0.09668431317915854
A447,868.3272727272728,62.781818181818174,1.7272727272727273,93.18181818181819,28.594825037564878,11,0.10793518903198987,0.9324118016906766,0.08621181844133599
A448,225.71999999999997,43.92,0.6,208.2,32.7300218579235,5,0.0,-1.7492746463056537,0.09036144578313253
A449,398.4,75.67999999999999,1.6,200.0,33.27633030291223,5,0.0,-2.4750371594844554,0.09505703422053231
A450,578.5600000000001,67.6,1.2,50.4,31.664186892460425,5,0.0,-0.6575831635521839,0.10010060362173039
A452,817.9599999999999,82.47999999999999,3.0,130.8,33.14654001715182,5,0.0,-0.5629649965263883,0.09706959706959707
A455,1093.48,76.64000000000001,2.6,28.8,28.700832208146295,5,0.0,3.7727499896927235,0.09550561797752809
